PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|CC_TYPE|STYLE|NO_LIVING_LEVELS|LOT_SIZE|ACRE|SQUARE_FEET|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|FEE_INTERVAL|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|COUNTY|STATE|ASSESSMENTS|TAXES|TAX_YEAR|HOA_FEE|UNIT_LEVEL|GARAGE_SPACES|GARAGE_PARKING|PARKING_SPACES|PARKING_FEATURE|NO_BATHS|FLOORING|CONSTRUCTION|EXTERIOR_UNIT_FEATURES|INTERIOR_FEATURES|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|NO_UNITS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|TOTAL_PARKING|SHORT_SALE_LENDER_APP_REQD
CC|72419119|TM324856|BB5919|ACT|45000000|1|Franklin Street|GPH|1|108|02110|N|Millennium Tower "The Grand Penthouse" single floor residence consisting of the entire 60th floor. With direct access to over 2,000 square feet of private outdoor space. Panoramic 360 degree views of Boston Harbor, Financial District, Beacon Hill, Charles River, Back Bay and beyond. Magnificent sunrise and sunsets. Custom designed and fitted to exacting standards. Luxury full service living defined. Six bedrooms, nine full baths, glorious library , gracious formal living room, elegant dining room, wet bar, seven fireplaces, movie and game area, separate full office accommodations, staff quarters, full events kitchen, six garage parking spaces included. Direct programmed elevator access.  Detailed marketing material to be distributed upon receipt of buyer pre qualification.|18|6/2/2021 4:20:00 PM|0|N||A|F|1|||13256|N|20|8|9|3|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|32491200|350138|2021|18852|60|6||0||9f;3h|M|C|C|C,F||B||A||A|A||442|N||Y|F,N|N|||6|N
CC|72563516|TM324496|AN2383|ACT|2199000|43|Commercial Wharf|8|1|106|02110|N|Rarely available loft-like penthouse at Commercial Wharf East! This floor-through 2 bedroom, 2 bathroom approx. 1700 sq. ft. condo has everything desired from central AC, to a ventless fireplace and rental parking right outside your door. Open concept living-room, dining-room, and kitchen makes this space perfect for entertaining. Dream chefs kitchen includes top-of-the-line Sub-Zero and Wolf appliances, granite countertops, and a breakfast nook. Grand spiral staircase leads up to the master bedroom with an ensuite bathroom and walk-in closet. Towering vaulted ceilings and whitewashed brick and beam give this condo a modern and contemporary feel. Private bookend balconies provide Northern and Southern exposure with unparalleled harbor and city views. Steps to the North End, Financial District, Downtown Boston, Christopher Columbus Park, Boston Yacht Haven and easy access to major highways and public transportation. Don't wait years for another penthouse to become available!|33|1/30/2020 3:02:00 PM|0|N||A|G|1|1300|0.03|1700|N|4|2|2|0|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|1725765|18190|2019|1126|5|0||1|A,B|2f;0h|C,M||G|D,G||F||A|D|A|A|A,C,D,F,I,K,L,Q|94|Y|G|Y|F||||1|N
CC|72566660|BB900792|AN6192|ACT|3350000|1|Avery|27A|1|108|02111|N|TOTALLY RENOVATED residence at the Residences of the Ritz Carlton with the 5 Star Hotel services, offers  not only a stunning interior, floor plan and layout, but also  AMAZING views from every room of  the State House and Charles River, the city and the park.  A large formal marble foyer leads to a grand Living/Dining room. Large and open eat-in  marble Kitchen with views of the State House, white lacquer custom cabinetry  and white marble countertops, double wide subzero refrigerator, double oven, wine cooler, Espresso Machine and marble breakfast bar. Master bedroom with gorgeous and luxurious master bath with double rain-shower heads. Second bedroom with ensuite bath. Third bedroom and or/home office/study with glass French door. Designer recessed lighting, crown molding, electric blinds, sound system. 2 Valet parking|15|11/16/2020 8:35:00 AM|0|N||A|F|1|||2242|N|6|3|2|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|0|20388.51|2021|3536|27|2||0|E|2f;1h||||||A||A||A|A||130|N||Y|N|||Ciry of Boston Tax Record|2|N
CC|72593677|CN206554|AN5279|ACT|2999000|380|Harrison Avenue|14G|1|104|02118|N|Welcome to The Quinn! Take in iconic views of Boston from your 3-bedroom 2.5-bathroom home featuring a fireplace with Calacatta stone surrounds, custom cabinetry, and an option to purchase a private roof cabana with a grill and outdoor kitchen. This home includes Sub-Zero and Wolf appliances, marble bathroom, washer/dryer, a five-piece master bath with radiant heat, and an en suite bath for the second bedroom.     The Quinn brings a new standard of living to the South End. A suite of hospitality-focused services offers everything from personal errands to private event coordination, so you can live effortlessly. Building amenities include an indoor lap pool, sauna, and an 8,000-sf fitness center with a bouldering wall and squash court, a billiards room, game room, childrens play room, and a landscaped roof terrace with dining and BBQ areas. Multiple lounges provide space to relax and entertain. On the first level, The Quinn offers Dog City- a pet spa exclusive for residents.|19|4/12/2021 4:17:00 PM|0|N||A|F|1|||1711|N|5|3|2|1|Y|1|22X14|C,9,27,42|||9||||1|11X9|K,T,U,5,27,42,44,47,59,60|1|12X11|I,K|1|12X10|K|1|11X10|K||||1||A,22,23,3,U|1||A,22,L,U||||1QB|1||B,L,U|||||||||||||||||||||A|||||||Suffolk|MA|0|10.56|2020|2294|12|1|C|0|E|2f;1h|J,U|B,C|M,4,F,O|D,V|3|A,B,G,I,J,N,7|3|A,D|A|A|A|A,C,D,F,H,I,K,L,P,Q,R,S,T,1|101|N||N||N||Building is in pre-construction phase. All dimensions, features subject to change.|1|N
CC|72596173|CN201400|AN1618|ACT|2498000|1|Franklin Street|3201|1|108|02110|N|Call this LUXURY condo with MILLION DOLLAR VIEWS of the GORGEOUS Boston skyline HOME! Unit features an open layout, custom closets throughout, a Poggenpohl kitchen w/ Sub-Zero, Bosch and Thermador appliances, a Master bedroom suite with an en suite Travertine bath that boasts a soaking tub and glass shower, and a 2nd bedroom with an en-suite marble bath. Located on the highest floor of the Millenium Tower City Residences, the Unit provides extra high ceilings and a SWEEPING southwestern view of the Boston Common, Boston & Back Bay skyline and Charles River. Millennium Tower Residences feature unparalleled 5-STAR services, including Valet parking, Doormen, 24-hour Concierge, exclusive 2-story Residence-on site club w/ private lounge, La Vie social experience, dining room for private events, 75' lap indoor pool, whirlpool, steam room, salon & spa rooms, a fitness center & outdoor terrace. 1 Valet Space. *See Firm Remarks.|29|6/13/2020 10:13:00 PM|0|N||A|F|1|||1426|N|3|2|2|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|1779900|18829.4|2018|1425|32|1|A,F,J|0|F,H|2f;1h|A,E,J,M||||2|B|2|A||A|A|A,B,C,D,F,I,J,K,L,Q|442|N||Y|N||||1|N
CC|72601152|BB922381|BB5630|ACT|659000|170|Tremont St|1106|1|108|02111|N|Bright high level unit with brand new hardwood floors and fresh paint throughout, with 24-hour concierge, in heart of city, steps to all amenities (parks, theaters, shops, restaurants). High ceiling, granite counter-top, high end cabinets, stainless appliances, in-unit laundry. Spacious living room, good size bedroom with walk-in closet. Elegant lobby, penthouse fitness center and two common outdoor terraces. Parking is for sale or rent separately in attached garage.|16|6/2/2021 9:40:00 AM|0|N||A|F|1|622|0.01|622|N|3|1|1|0|N|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|0|5810|2016|402|11|0|C,I|0|F|1f;0h||C|||1|A,B,D,G|1|A,D,I||A|A|A,C,D,F,I,K,L|93|N||N||N|||0|N
CC|72617770|BB806206|AN4818|ACT|819700|135|Seaport Boulevard|1018|1|113|02210|N|Introducing Phase 2 of EchelonSeaport (135 Seaport Blvd).  10th floor Southeast facing Studio w/ Sleeping Alcove.  Garage Parking option can be Included!    2 levels of spectacular retail and restaurants paired with over 50,000 SF of indoor and outdoor residential only amenities.  EchelonSeaport residents enjoy 1 indoor and 2 outdoor pools as well as a state of the art fitness facility including an indoor basketball court, sports simulator and hot yoga studio.  The Club Level features a fireplace lounge, private dining room, and outdoor terraces with grill stations and fire pits all designed to be an extension of your home.  Residents will enjoy services including 24/7 concierge, doorman, and porters.  The Sky Lounge & Terrace on the 22nd floor offers residents the option to entertain overlooking the downtown skyline.  Occupancy Spring 2020|30|5/28/2021 12:31:00 PM|0|N||A|F|1|||520|N|2|0|1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|999|999|20|532|10|1|C|0|J|1f;0h|||I|||B||A||A|A||192|Y|A,G|N|||||1|N
CC|72619253|CN206554|AN5279|ACT|2424000|380|Harrison Avenue|14B|1|104|02118|N|Relax in your expansive 2-bedroom+ home featuring a flexible floor plan with a den that can be transformed to meet your lifestyle. This home offers ample light and features windows on three sides, Sub-Zero and Wolf appliances, marble bathroom, washer/dryer, and white oak floors throughout. A dedicated parking space in the below-grade garage is included.    The Quinn brings a new standard of living to the South End. A suite of hospitality-focused services offers everything from personal errands to private event coordination, so you can live effortlessly. Building amenities include an indoor lap pool, sauna, and an 8,000-sf fitness center with a bouldering wall and squash court, a billiards room, game room, childrens play room, and a landscaped roof terrace with dining and BBQ areas. Multiple lounges provide space to relax and entertain. On the first level, The Quinn offers Dog City- a pet spa exclusive for residents.|15|4/8/2021 10:17:00 PM|0|N||A|F|1|||1365|N|5|2|2|0|Y|1|19X14|9,27,42|1||9||||1|9X13|K,T,U,5,27,42,44,47,59,60|1|12X12|I,K|1|12X11|K|||||||1||A,22,H,3,U|1||A,21,L,U||||DEN|1|9X6|V,K|||||||||||||||||||||A|||||||Suffolk|MA|0|10.67|2020|1878|12|1|C|0|E|2f;0h|J,U|B,C|M,4,F,O|D,V|3|A,B,G,I,J,N,7|3|A,D|A|A|A|A,C,D,F,H,I,K,L,P,Q,R,S,T,1|101|N||N||N||Building is in pre-construction phase. All dimensions & features subject to change.|1|N
CC|72620763|CT006932|AN4462|ACT|1199000|45|Province St|2207|1|108|02108|N|Spectacular two-bedroom two-bathroom residence located at the mid-towns premier luxury boutique building, 45 Province. Fabulous open concept living room with walls of windows offers incredible views. The kitchen features high-end cabinetry and stainless steel Sub-Zero and Miele appliances, gas range cooking, granite countertops. 45 Province is a sophisticated building with luxury amenities: 24/7 concierge, deeded valet garage parking, heated in-ground pool, 33rd floor roof deck, Exhale fitness studio and spa, residents lounge, and Club Level with media screening room. Low association fee. The mid-town location provides easy access to shops, dining, MBTA, and major roadways. The home comes with one valet garage parking space.|20|2/18/2020 2:37:00 PM|0|N||A|F|1|966|0.02|966|N|4|2|2|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||A|||||||Suffolk|MA|1305930|13765|2019|836|22|1||0||2f;0h|A,C|||||B||A||A|A|A,B,C,D,F,I,K,L|137|N||N|||||1|N
CC|72624166|NB100037|AN4665|ACT|1349900|99|Sumner|PH 612|1|019|02128|N|WATER VIEW PENTHOUSE - WATERFRONT - FULL SERVICE - NEW CONSTRUCTION  The Mark East Boston Phase 4 Just released, over 75% sold! Penthouse 612 - 2 Bed+Den/2 Bath Penthouse with views of Boston Harbor to Seaport. 2 Parking Spaces (Tandem) included with home. The Mark at DeNormandie Wharf - East Bostons new vantage point - Transit Oriented, 2 minute walk from Maverick Square Blue Line MBTA (3 mins to Aquarium, 5 mins to State St), Water Taxi Stop 66, ReelHouse & 5 minute drive to the airport. Charming homes featuring elegant & distinctive interior finishes + pet friendly! Amenities Include: 24/7 Concierge, Fitness Center with Flex Studio, Harbor view Resident Terrace with Grills and Fire pits, Golf Simulator, Tesla Model X - Envoy Car Share, & more! Parking Available for purchase. Storage available for purchase on the same floor as unit. DON'T MISS THIS OPPORTUNITY TO OWN ON THE WATERFRONT- SCHEDULE YOUR APPOINTMENT TODAY.|17|2/26/2020 11:03:00 AM|0|N||A|G|1|||1206|N|6|2|2|0|Y||||||||||||||||||||||||||||||||||DEN|||K|||||||||||||||||||||A|||||||Suffolk|MA|0|0|2021|937.64|6|2|I|0|C|2f;0h|C,U|||||B||A||A|A||107|Y|G|Y|F||||2|N
