PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD
MF|71475884|BB985184|BB533|ACT|969000|24|Crescent C095/Multi007||1055||03038|N|O12,324 sq ft Gross area under roof, High Quality Building Across the street from Pinkerton High School.7,422 sq.ft of heated living space, includes 6 garages, hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 7%.  Total annual inc $97,680.00 QUALITY PROPERTY. Owner / Broker interest.Owner Finance $229,000 25 yrs 6%|1|1/25/2013 11:40:00 AM|1|N||P|7|2|26|6|10|18000|0.41|7422|Rockingham|NH|1880|601000|14750|2021|12|7|0|A|7f;0h|N||||Y||||A,D,H|A|N
MF|72395858|BB954349|AC2395|ACT|749000|391|Poplar St||1||02131|N|SHORT SALE AND SUBJECT TO 3RD PARTY APPROVALS .....  2 FAMILY IN NEED OF WORK... DO NOT APPROACH THIS HOME WITHOUT PRIOR AUTHORIZATION FROM  BROKERAGE..|3|9/14/2018 4:22:00 PM|262143|N||A|2|2|10|0|4|8410|0.19|2080|Suffolk|MA|1920|466300|4938|2017|4|2|0|Q|2f;0h|N||||Y||||||Y
MF|72423216|BB981220|AN2987|ACT|660000|73-77|Victoria St||20||02151|N|Homes are being sold in "as is" condition.  73 is an approved short sale at $265k , 77 is NOT a short sale and are asking $395k.   Lots of opportunity with this property. Buyer to do own due diligence and is responsible for final water reading (not actually paying the bill) and smoke certificate.  Need to be bought separately.|3|10/14/2020 2:12:00 PM|0|N||A|2|2|6|1|6|3291|0.08|2959|Suffolk|MA|1930|588200|6623.13|2020|3|2|1|A|2f;1h|N||||Y|||Does not include 900sq. ft. of finished basement||A|Y
MF|72431226|BB902688|BB5099|ACT|1099900|372|Granite Street||195|WQU|02169|N|ENTREPRENEURS TAKE NOTE -- Location  Location -Location - 1st Floor commercial vacant and perfect for a Business. Three residential units on upper levels and great for income. Start/Move your business to the 1st floor commercial space.  Multi-use building and perfect for an investor to watch their investment grow!  Wonderful opportunity to own in QUINCY - Buyer is responsible for due-diligence before submitting offers Unlimited potential with this property. -Caution should be exercised by brokers and their clients during any entry and inspection of the premises." Property sold in "AS IS" condition with no warranties, guarantees or representations either expressed or implied by agent or broker being sold "AS IS" property needs work do not disturb occupants need notice for access 72 hrs PROPERTY SOLD WITH TENANT(S)-SUBJECT TO ALL EXISTING TENANCY -DO NOT WALK AROUND THE PROPERTY WITHOUT APPOINTMENT - BROKERS WELCOME LET THIS BE A BIG MONEY MAKER FOR YOU SEE 368 GRANITE ST MLS# 72431207|30|12/8/2018 3:45:00 PM|0|N||E|6|2|11|0|0|0|0|2400|Norfolk|MA|1926|0|0|2018|4|3|0||3f;0h|N||||N|||Buyer/buyer agent must perform own due diligence, verifications and research|||N
MF|72502368|CN225307|AN3217|ACT|1250000|375|State Rd||157||02747|U|Package deal! List price includes 4 separate parcels, see others MLS #: 72502364, 72502373, 72502376. Includes a single family home, multi family with detached garage, and 2 lots of land for approx. 8 acres combined. Mblu 167/ 57, 167/ 54, 167/ 53, 167/ 56. More information available!   *** Owner may be open to selling individual parcels***|16|5/20/2019 12:05:00 PM|1121462339|N||B|3|3|12|0|6|22504|0.52|2458|Bristol|MA|1920|266700|2592.32|2018|4|3|0||3f;0h|N||N||Y||||||U
MF|72593896|H8000557|H95126|ACT|150000|179|Holtshire Rd||473||01364|N|A fire in one of the units has this multi-family currently vacant and in need of repairs.  The Two units on the left side have extensive fire damage.  The Units on the right are in better condition.  Large units with open kitchen/dining/living rooms.  Sits on almost of acre of land with a 4-car carport and plenty of parking.|1|11/19/2019 9:16:00 AM|0|N||C|4|3|22|4|10|37462|0.86|5315|Franklin|MA|1993|235600|5169.06|2018|12|5|0||5f;0h|N||N||N|||||A,C,E|N
MF|72594433|BB805132|BB9927|ACT|3900000|58|Nosh Kola lane||7653||12563|N|This magnificent estate is being offered as a package.  It is a 118 acre historic site with it's own private 8.5 acre lake.  It was purchased privately and developed into a glorious residential compound that encompasses 4 homes that were architecturally designed within the past 15 years including one historic home which has been completely renovated.  The estate is only an hour's drive from New York City.  It is only 5 miles from the Danbury, Connecticut line.  All this and easily accessed at the intersections of routes #84, 684, & 22.  The New York City commuter line to Southeast or Brewster is at your fingertips.|27|11/20/2019 12:04:00 PM|0|N||C|4|0|0|0|0|5140080|118|0|Putnam|NY|2005|0|0|2015|0|0|0|A|0f;0h|Y|C|Y|G|Y||||||N
MF|72594584|CN225406|AN6500|ACT|599900|2|Salem Street||352|BRD|01835|N|PRICE IMPROVEMENT. Rare opportunity to own a part of history.  A mixed use Residential/Commercial Colonial located in a historic section of Bradford.  This one time Kimball Tavern Restaurant/Bar has many original features with spacious rooms, five fireplaces, wide pine floors and period details.  Built in 1690 and totally rehabbed in 1970 by the former Bradford College.  Second floor apartment with 3 bedrooms, currently only one bedroom used and reason for reduced rent.   There is also a potential apartment on the third floor.  The Kimball Tavern is located on parcel one (2 Salem Street) and consists of .27 acres.  There is also a second parcel consisting of .20 acres.  Parcels have separate tax bills. The second parcel is a potential building lot.  Seller will consider offers for parcel one consisting of Kimball Tavern and .27 acres.  Buyers and Buyers Agents to perform their own due diligence to future use, potential building lot and changes to property.|14|11/20/2019 3:37:00 PM|0|N||G|2|3|15|0|10|20473|0.47|3196|Essex|MA|1690|577700|8058.92|2019|6|3|0|A,G,J,M|3f;0h|N||N||Y|N|||D|A,C,E|N
MF|72602352|FR000171|FR0013|ACT|469900|188-194|Nashua St||161||02721|N|rents below market rates, 4,050 monthly should be 6,000|3|12/26/2019 3:09:00 PM|0|N||O|6|3|24|0|5|5006|0.11|4152|Bristol|MA|1900|225200|3283|2019|12|6|0||6f;0h|N||||Y|||||A|N
MF|72615274|CN218293|A98034|ACT|750000|299|Mulberry Street||161||02721|N|Completely remodeled 6 spacious units with 4 bedrooms and 3 bedrooms duplex style units per floor, a total of 3 floors with new Kitchens, Bathrooms, updated Electrical system, new Heating and Plumbing, new Hot Water Tanks, coin-op Washer and Dryer and 6 storage rooms for the tenants in the basement. 6 separate Electric and Gas meters. Off-street parking for at least 6 cars, newly paved driveway. Fenced in yard. Current rents are way below market rent for the area. Seller financing available for qualified Buyers.|42|2/5/2020 7:20:00 PM|0|N||E|6|3|45|0|8|5316|0.12|6084|Bristol|MA|1900|265400|3869.53|2019|21|6|0|A,M,Q|6f;0h|N||N||Y||||A,D,F,J|A,C,E,I|N
