PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|SF_TYPE|STYLE|LOT_SIZE|ACRE|SQUARE_FEET|GARAGE_SPACES|GARAGE_PARKING|BASEMENT|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|LIV_LEVEL|LIV_DIMEN|LIV_DSCRP|DIN_LEVEL|DIN_DIMEN|DIN_DSCRP|FAM_LEVEL|FAM_DIMEN|FAM_DSCRP|KIT_LEVEL|KIT_DIMEN|KIT_DSCRP|MBR_LEVEL|MBR_DIMEN|MBR_DSCRP|BED2_LEVEL|BED2_DIMEN|BED2_DSCRP|BED3_LEVEL|BED3_DIMEN|BED3_DSCRP|BED4_LEVEL|BED4_DIMEN|BED4_DSCRP|BED5_LEVEL|BED5_DIMEN|BED5_DSCRP|BTH1_LEVEL|BTH1_DIMEN|BTH1_DSCRP|BTH2_LEVEL|BTH2_DIMEN|BTH2_DSCRP|BTH3_LEVEL|BTH3_DIMEN|BTH3_DSCRP|LAUNDRY_LEVEL|LAUNDRY_DIMEN|LAUNDRY_DSCRP|OTH1_ROOM_NAME|OTH1_LEVEL|OTH1_DIMEN|OTH1_DSCRP|OTH2_ROOM_NAME|OTH2_LEVEL|OTH2_DIMEN|OTH2_DSCRP|OTH3_ROOM_NAME|OTH3_LEVEL|OTH3_DIMEN|OTH3_DSCRP|OTH4_ROOM_NAME|OTH4_LEVEL|OTH4_DIMEN|OTH4_DSCRP|OTH5_ROOM_NAME|OTH5_LEVEL|OTH5_DIMEN|OTH5_DSCRP|OTH6_ROOM_NAME|OTH6_LEVEL|OTH6_DIMEN|OTH6_DSCRP|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|PARKING_FEATURE|NO_BATHS|YEAR_BUILT_DESCRP|CONSTRUCTION|ROOF_MATERIAL|COLOR|EXTERIOR_FEATURES|INTERIOR_FEATURES|FLOORING|LOT_DESCRIPTION|BASEMENT_FEATURE|ROAD_TYPE|HEAT_ZONES|HEATING|COOLING_ZONES|COOLING|ELECTRIC_FEATURE|WATER|SEWER|APPLIANCES|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|HOME_OWN_ASSOCIATION|FEE_INTERVAL|TOTAL_PARKING|SHORT_SALE_LENDER_APP_REQD
SF|72561451|CT003644|AN0499|ACT|22500000|8|Mt Vernon Pl||1|102|02108|N|Historic details and modern luxury and style blend seamlessly in this 9000+ square foot magnificent single family residence on the South Slope of Beacon Hill. Complete with 5+ bedrooms and 7 full baths/2 half baths and 4 Parking (one valet garage space and 3 directly outside on Mt Vernon Place), this property is in a class of its own; with its gracefully proportioned rooms and fabulous open layout. One of the most captivating features of this townhouse, is its corner placement,  with 3 sides of dramatic oversized windows allowing for fantastic natural light to permeate the living spaces from the South, East and North.  The enormous bulthaup designed kitchen and family room spaces open directly onto the landscaped private garden space, allowing for easy indoor/outdoor living. The unique characteristics of this corner building, coupled with the high level of sophisticated craftsmanship and intricate details throughout the home, make this townhouse a rare find.|20|9/9/2019 1:04:00 PM|0|N||B|H|3364|0.08|9768|1||Y|15|5|7|2|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1899|10550400|111201|2019|A,I|7f;2h|A||||C,D,G,14||A,C,J|A|A,D,G|B||B||A||A|A|A,B,C,D,I,J,K,L,M|N||N|||Y|Total sq ft w mechanical space. Livable less mechanical 9,016 + 941 of outdoor living space|||4|N
SF|72653966|TM002210|AN2593|ACT|2450000|66|Revere Street||1|102|02114|N|Located on picturesque Revere St. in the heart of Beacon Hill sits this enchanting brick single family. Greeted by the cherry red front door you immediately know you have arrived home. Sunny and gracious, the view from the foyer is filled with custom millwork, cabinetry in the dining room with original fireplace, and fully appointed gourmet chef's kitchen with a direct access outdoor private patio. High quality finishes. Innumerable updates. Bright and spacious, the double living room is highlighted with front to back windows, numerous built-ins, fireplace, and private study/den. Glorious outdoor roof deck ideal for entertaining or just relaxing. Ground floor den/bedroom with bath and separate entrance ideal for au pair or guests. This one-of-a-kind and rarely-avail home is not to be missed. All of this perfectly located just steps from the acclaimed shopping and restaurants of Charles Street, the Esplanade, MGH/MEE, public transit and offering easy access to highway. Parking nearby.|35|6/23/2020 12:58:00 PM|0|N||B|Q|652|0.01|2640|0||Y|8|3|3|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1899|2199400|23225.67|2020|D|3f;1h|B|B|||C,D||A,E|M|B|||D||V||A|A|A,B,C,D,F,H,I,J,K,L|N||||N|Y|total area per public records|||0|N
SF|72717459|BB801318|AN2476|ACT|1300000|1016|Washington St||1|05E|02124|N|Development Opportunity in the Lower Mills neighborhood of Dorchester located on a large parcel of land (21,712 sqft), landscaped nicely in the front and heavily wooded in the rear of the property. Residential zoning. Single family frame dwelling with all the charm of an old farmhouse style property.  Within a half mile of three separate trolley stops ( Milton,Cedar Grove, Butler) and just over a half mile (.6) to Ashmont Train Station.  Many restaurants and shops in the area, Baker Chocolate Factory, Carney Hospital, Star Market, and all the local amenities of the neighborhood.|28|8/28/2020 2:28:00 PM|0|N||A|L|21712|0.5|2206|0||Y|7|3|2|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1860|999|1312.92|2019|A|2f;1h|B|A|A||B||A|B,C|A|A||F||B||A|A||N||N||N|||N||3|N
SF|72725281|CN202794|AN0499|ACT|9750000|352|Marlborough St||1|101|02115|N|Exquisite new construction Marlborough St single family! This 24' wide brick townhouse has been gut renovated and expertly designed by Boston's famed CBT Architects and constructed with the finest craftsmanship and materials by Pegasus Luxury Homes. Recently completed, this 4+ bedroom home offers 4 full baths, 3 half baths, 2 wet bars, elevator access to every floor, enormous private patio plus top floor family room with deck. Chic parlor level kitchen with top-of-the-line paneled appliances, abundant storage and southern exposure! Chevron flooring, walnut built-ins, large formal dining room and a generous living room with custom mantle. Second level master suite has a private office, front facing views and offers a massive dressing room with custom milled built-ins with lighting, storage island, and access to an ultra chic marble clad bathroom with oversized wet room/steam shower. Brand new furnishings & art available for purchase. Complete with 3 full heated parking spaces!|33|10/2/2020 7:52:00 AM|0|N||B|H|1|0|4754|0|F|Y|11|4|4|3|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1880|3291200|35457.6|2021|A,L|4f;3h|A|A,B|G||2,D||A,J|K|A,D|A||A||A||A|A|A,C,D,F,I,J|N|||||Y||N||3|N
SF|72731210|CN215203|AN6239|ACT|979000|40|Senator Bolling Circle||1|05C|02124|N|Harvard Commons, quickly one of Boston's most desirable areas to live! This three bedroom, three and a half bath, newly constructed home comes completed, sold as is. Finished basement commands plenty of space for storage and entertainment. A Chef's kitchen has GE "Elite" Series Stainless Steel appliances, upgraded, easy close cabinetry and LED under cabinet ambient lighting accenting this open concept floor plan. The living room has a mantle gas fireplace, nestled in the corner of a large, well lit room opening to the back porch, with a large deck and plenty of shaded space for entertaining. Two zones of central air and recessed lighting throughout. Bedroom suite has a ceiling fan with an over sized walk in closet, double vanity, jetted tub in the main bath. Minutes from the Arnold Arboretum, JP, Franklin Park Golf Course, these offerings are sure to attract hungry buyers|41|9/30/2020 12:01:00 PM|0|N|Harvard Commons|A|A|6663|0.15|3250|2|A,E,P|Y|13|4|3|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|2020|102100|1078.18|2020|A,C,N|3f;1h|B|C|A|White|A,C,7,9,T,24|C,H|A|A,B,C|D,F|B,E|2|A|2|A||A|A|A,C,D,F,H,I,P,S,1,2,5|N|||||Y||Y||7|N
SF|72742419|CN216419|AC1317|ACT|1099900|35B|BRIGHTON ST|B|1||02129|N|Great location for self-living or investment! Large 3-level single family home located within 3 minutes walking to the Sullivan Square T station. Easy access to Assembly Row, Rt 93, Stop & Shop, bus stop, and the Green Line Extension Project (GLX). Rarely find Newly Construction Single family with one car garage in Charlestown. Open Floor plan, custom kitchen with center island, granite countertops, Jenn-air stainless steel appliances, pedant lighting. The property has Central Air and Heat controlled by a programmable thermostat for each floor, new electrical, new plumbing, and a private yard. There is one parking garage and has a storage area in the basement.|17|4/2/2021 10:56:00 AM|0|N||B|A|3375|0.08|1918|1||Y|10|4|3|1|Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|2016|802000|8545.38|2020||3f;1h|A|||||||A|A|||A||A|H|A|A||N|||||||||1|N
SF|72743757|BB900926|AN6384|ACT|5398000|730|Tremont Street|1|1|104|02118|N|Historic 2017 residence is one of 6 units masterfully converted within the 1863 New Hope Baptist Church at the corner of Tremont & Worcester.  It boasts 3 levels of living space with exquisite detail, 3/4-bed, 4.5-baths, a private 275' deck w/direct access to 2 car garage. The corner townhouse offers Style, Sophistication & Class with the feel of a single family. Magnificent architectural details include walls of Puddingtone, 12' ceilings,  contemporary open concept floor plan & modern 8" white European White Oak floors throughout.  Private wrought iron gate entrance w/original arched doors. Custom kitchen w/a plethora of storage, top-of-the-line appliances, honed Carrara marble peninsula. King-size owner suite in the original Clock Tower, 16' ceilings, surrounded by Puddingstone walls & gothic style windows, walk-in closet, spa like bath w/skylight. Guest rooms each w/en-suite baths.  Home office, game room w/wet bar, family room/4th bedroom & bath, complete this exceptional space!|42|5/3/2021 11:19:00 AM|0|N|South-End|B|K|20272|0.47|3719|2|A,C,E,G|Y|9|3|4|1|Y|2|21'0X18'4"|C,9,4,2,44,47,68|2|18'X9'4"|9,4,2,44,47,64||||2|15'9"X13'9"|W,9,U,2,26,44,47,59,60,61|3|22'2X15'7"|I,9,4,27,47,64|3|12'7"X12'11|A,W,9,4,47|3|13'1"X12'9"|A,W,9,4,47|||||||1|7'1"X9'3"|A,21,L|2|4'8"X5'1"|B,9,33,2,62,64|3|7'9"X4'10"|A,21,L,U,64|3|4'2'X6'4"|I,9,10,39,64|GRM|1|23'10X15'4"|V,L,8,41,44,59,64,68|HMO|1|11'9"X11'5"|L,P,35,41,42,44,47,64|MED|1|12'6"X11'5"|L,4,27|VES|1|9'2'X8'10"|V,L,41,64|BTH|3|8'6X19'3"|A,14,19,23,E,L,U,36,47,64|BTH|3|9'8"X4'6"|13,19,L,47,62,64|Suffolk|MA|1860|3846200|27430.94|2021|D,N|4f;1h|A,D|C|A,G|Pudding|7,W|C,D,Q,V|C,M|A,M,S|A,D,F,G,H,R|A,C,E,I|4|B,N|4|A,E|D,H|A|A|A,C,D,F,I,K,L,Q,Y|N||N||N||Includes all 3 finished levels|Y|A|2|N
SF|72757820|BB921948|BB5919|ACT|12690000|14|Walnut Street||1|102|02108|N|Luxurious Single Family Home with Valet Parking Available. One of the most iconic homes on all of Beacon Hill, and with the only garden of its size in Boston, 14 Walnut Street is extraordinary. This home offers luxury on the grandest scale, yet allows for ease of living w/ recent renovations, updated modern conveniences & an elevator. Perfectly positioned at the corner of picturesque Mount Vernon & Walnut Streets w/ 3 exposures & 60+ windows, this is an incredible 6 bedroom, 7 full, 2 half bathroom home. SieMatic kitchen w/ informal dining area adjacent to family room w/ fireplace, radiant heat flooring. Dramatic parlor level w/ gracious formal living and dining rooms, an inviting study, handsome bar & caterer's kitchen. Four French doors connect to an abutting brick terrace-all overlook the beautifully landscaped, private stone garden/yard. Sumptuous master suite w/ luxurious bath & closets. 4 addt'l bdrms w/ ensuite baths. 2 laundry areas, 19x30 storage OR home theater, home office.|42|1/7/2021 1:32:00 PM|0|N|Beacon Hill|B|P|5800|0.13|7122|1||Y|18|6|7|2|Y|2|20X21||2|20X15||2|20X19||1|12X39||3|17X19||3|20X17||4|21X17||4|15X18||4|20X15||||||||||||||GRM||18X24|A,F|FOY|1|15X13||OFC|1|12X10||LAW|B|12X14||MED|B|13X10||OTH|B|19X30|I|Suffolk|MA|1803|9858900|109295|2020||7f;2h|B|B,H|D,H||D,G,W,3,14,21|F,N,W|A|A,P|A|A|20|B|20|A||A|A|A,B,C,D,F,I,J,K,L,Q,Y|N||N||||Interior living area is likely over 8000sqft. PRIVATE garden/yard is an ADDT'L 5000+ sqft.|N||2|N
SF|72765801|CT005585|AN3697|ACT|699900|134|Coleridge St||1|019|02128|N|Talk About Location!!!! East Boston, Harborview Area Presently a converted single family, was originally permitted when built as a 2-family, could possibly go back to a 2-family, buyer must due their due diligence. (Have copy of original permit ) Perfectly maintained and move-In condition! 6 room multi-level colonial, 3 bedrooms and 1.5 bathrooms. Nice size backyard. Masspory sound proof windows and built in wall A/C on 1st floor. Brand new furnace and water heating system. Water view, walk to beach, yacht clubs, tennis courts, ice skating rink, schools, Boys and Girls Club, MBTA and more! Dead end street and plenty of off street parking. Close to Logan Airport, Rt. 1, and mins away from downtown.|1|12/10/2020 3:28:00 PM|0|N||A|A|1875|0.04|1892|0||Y|6|3|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Suffolk|MA|1910|401500|4240|2020||1f;1h|B,D|A|A||W|D,N|C,E,M|D|Q|||D,N||H|D|A|A|A,B,C,D,F|N|||||||||1|N
SF|72766009|CN215203|AN6239|ACT|939900|18|Senator Bolling Circle||1|05C|02124|N|BACK ON THE MARKET, due to previous buyers backing out because of time constraints surrounding the finishing of the basement; it is COMPLETED!!! Not only does it add additional living space, full bath, but its been wired for surround sound and makes perfect spot for watching movies with the family.   This new 3 bedroom 4.5 bath home boasts a large back yard, 2 car garage, two zones of central air, and recessed lighting. Large kitchen is complete with GE Elite Series Stainless Steel appliances, custom cabinetry, LED under cabinet ambient lighting, accenting this open concept floor plan.  A brick 3-sided fireplace is the center piece of this large living room adding warmth and class to a well-lit room with French sliding doors to let in the light.  Large deck, wide back yard, perfect for cookouts and family activities.  Lots of closet space, pull down access to the attic, and in closet lighting.   Come see this NOW as ...with low inventory, this IS what everyone is searching for|30|6/4/2021 12:04:00 PM|0|N|Harvard Commons|A|A|6192|0.14|2160|2|A,E,P|Y|13|3|3|1|Y|||K,X,44,50,67||||||||||||A,G,72,I,K,9,27,36,47|||I,K,9|||I,K,9||||||||||||||||||40,57|||||||||||||||||||||||||Suffolk|MA|2020|102100|1078.18|2020|A,C,N|3f;1h|A|C|A,J|White|A,C,7,9,T,24|C,D,H|A,M|A,B,C|A,Q|B,E|2|A,N|2|A||A|A|A,B,C,D,F,H,I,P,S,1,2,5|N||||N||basement to be finished by the builder adding 1090 sqft of heated and cooled space|Y||7|N
